GesID	Ebene
2151	Shadow-exposed slope
2151	Plain
2152	Sun-exposed slope
2153	Sun-exposed slope
2154	Sun-exposed slope
2155	Plain
2155	Sun-exposed slope
2156	Sun-exposed slope
2160	Shadow-exposed slope
2160	Plain
2170	Plain
2170	Sun-exposed slope
2170	Shadow-exposed slope
2180	Sun-exposed slope
2180	Plain
2180	Shadow-exposed slope
2190	Plain
2191	Plain
2192	Plain
2193	Plain
2201	Sun-exposed slope
2201	Shadow-exposed slope
2201	Plain
2202	Plain
2203	Plain
2210	Sun-exposed slope
2210	Shadow-exposed slope
2210	Plain
2211	Shadow-exposed slope
2211	Plain
2212	Sun-exposed slope
2230	Plain
2230	Sun-exposed slope
2230	Shadow-exposed slope
2241	Shadow-exposed slope
2242	Shadow-exposed slope
2243	Shadow-exposed slope
2244	Shadow-exposed slope
2245	Shadow-exposed slope
2245	Sun-exposed slope
2245	Plain
2246	Plain
2250	Shadow-exposed slope
2250	Plain
2250	Sun-exposed slope
2260	Plain
2260	Shadow-exposed slope
2261	Plain
2270	Sun-exposed slope
2271	Sun-exposed slope
2273	Plain
2273	Shadow-exposed slope
2274	Shadow-exposed slope
2280	Shadow-exposed slope
2289	Plain
2290	Shadow-exposed slope
2290	Plain
2290	Sun-exposed slope
2291	Plain
2292	Plain
2293	Plain
2293	Sun-exposed slope
2301	Plain
2301	Shadow-exposed slope
2302	Plain
2302	Sun-exposed slope
2303	Sun-exposed slope
2303	Plain
2304	Sun-exposed slope
2305	Plain
2306	Plain
2307	Plain
2307	Sun-exposed slope
2308	Plain
2309	Sun-exposed slope
2310	Plain
2312	Sun-exposed slope
2313	Sun-exposed slope
2314	Sun-exposed slope
2314	Plain
2315	Sun-exposed slope
2316	Sun-exposed slope
2317	Shadow-exposed slope
2317	Sun-exposed slope
2318	Sun-exposed slope
2319	Sun-exposed slope
2320	Shadow-exposed slope
2320	Plain
2321	Sun-exposed slope
2322	Plain
2322	Sun-exposed slope
2323	Sun-exposed slope
2330	Shadow-exposed slope
2330	Plain
2340	Sun-exposed slope
2340	Plain
2340	Shadow-exposed slope
2350	Sun-exposed slope
2360	Sun-exposed slope
2370	Sun-exposed slope
2380	Sun-exposed slope
2381	Shadow-exposed slope
2381	Plain
2382	Shadow-exposed slope
2382	Plain
2383	Plain
2384	Plain
2385	Plain
2386	Sun-exposed slope
2387	Sun-exposed slope
2387	Plain
2388	Plain
2399	Shadow-exposed slope
2399	Plain
2400	Sun-exposed slope
2400	Shadow-exposed slope
2400	Plain
2401	Shadow-exposed slope
2401	Sun-exposed slope
2401	Plain
2402	Plain
2403	Sun-exposed slope
2404	Sun-exposed slope
2405	Sun-exposed slope
2406	Shadow-exposed slope
2407	Shadow-exposed slope
2407	Sun-exposed slope
2407	Plain
2408	Sun-exposed slope
2409	Sun-exposed slope
2409	Shadow-exposed slope
2409	Plain
2410	Shadow-exposed slope
2410	Plain
2410	Sun-exposed slope
2412	Shadow-exposed slope
2413	Sun-exposed slope
2414	Sun-exposed slope
2415	Sun-exposed slope
2416	Sun-exposed slope
2417	Shadow-exposed slope
2418	Sun-exposed slope
2418	Plain
2419	Shadow-exposed slope
2420	Shadow-exposed slope
2420	Sun-exposed slope
2420	Plain
2421	Sun-exposed slope
2421	Plain
2421	Shadow-exposed slope
2422	Shadow-exposed slope
2422	Sun-exposed slope
2422	Plain
2423	Shadow-exposed slope
2423	Sun-exposed slope
2423	Plain
2424	Shadow-exposed slope
2424	Sun-exposed slope
2424	Plain
2425	Sun-exposed slope
2425	Plain
2425	Shadow-exposed slope
2426	Plain
2426	Sun-exposed slope
2426	Shadow-exposed slope
2427	Sun-exposed slope
2427	Shadow-exposed slope
2428	Shadow-exposed slope
2429	Shadow-exposed slope
2429	Sun-exposed slope
2429	Plain
2430	Sun-exposed slope
2430	Plain
