# Community_BERN5_ID	Plant_BERN5_ID	Plant_is_constant	Charakterart	Community_Name	Plant_Name	is dominant
22	3295	1	0	Lemno-Utricarietum vulgaris SOÓ 1938	Utricularia minor	
22	3297	1	1	Lemno-Utricarietum vulgaris SOÓ 1938	Utricularia vulgaris	dominant
23	3006	1	1	Aldrovandetum vesiculatae BORHIDI et J. KOMLODI 1959	Aldrovanda vesiculosa	dominant
23	3145	1	0	Aldrovandetum vesiculatae BORHIDI et J. KOMLODI 1959	Lemna minor	
24	3145	1	0	Lemno-Utricarietum australis TH. MÜLLER et GÖRS 1960	Lemna minor	
24	3293	1	1	Lemno-Utricarietum australis TH. MÜLLER et GÖRS 1960	Utricularia australis	dominant
25	3069	1	1	Ceratophylletum demersi SOÓ 1928	Ceratophyllum demersum	dominant
25	3145	1	0	Ceratophylletum demersi SOÓ 1928	Lemna minor	
25	3205	0	0	Ceratophylletum demersi SOÓ 1928	Polygonum aquaticum	
26	3070	1	1	Ceratophylletum submersi SOÓ 1928	Ceratophyllum submersum	dominant
27	3069	0	0	Potamogetonetum lucentis HUECK 1931	Ceratophyllum demersum	
27	3096	0	0	Potamogetonetum lucentis HUECK 1931	Elodea canadensis	
27	3177	1	0	Potamogetonetum lucentis HUECK 1931	Nuphar lutea	
27	3217	1	1	Potamogetonetum lucentis HUECK 1931	Potamogeton lucens	dominant
27	3219	0	0	Potamogetonetum lucentis HUECK 1931	Potamogeton natans	
27	3224	1	0	Potamogetonetum lucentis HUECK 1931	Potamogeton perfoliatus	
27	3234	1	0	Potamogetonetum lucentis HUECK 1931	Ranunculus circinatus	
28	3069	0	0	Potamogetonetum perfoliati W. KOCH 1926	Ceratophyllum demersum	
28	3096	0	0	Potamogetonetum perfoliati W. KOCH 1926	Elodea canadensis	
28	3147	0	0	Potamogetonetum perfoliati W. KOCH 1926	Lemna trisulca	
28	3177	1	0	Potamogetonetum perfoliati W. KOCH 1926	Nuphar lutea	
28	3223	1	0	Potamogetonetum perfoliati W. KOCH 1926	Potamogeton pectinatus	
28	3224	1	1	Potamogetonetum perfoliati W. KOCH 1926	Potamogeton perfoliatus	dominant
28	3252	1	0	Potamogetonetum perfoliati W. KOCH 1926	Sagittaria sagittifolia	
29	3224	1	0	Potamogetonetum praelongi MILJAN 1933	Potamogeton perfoliatus	
29	3225	1	1	Potamogetonetum praelongi MILJAN 1933	Potamogeton praelongus	dominant
30	3020	1	0	Potamogetonetum colorati ALLORGE 1922	Berula erectum	
30	3139	0	0	Potamogetonetum colorati ALLORGE 1922	Juncus subnodulosus	
