# Community_BERN5_ID	Community_Name	community_Synonyme	Naturalness level	use_type_Text	EUNIS_Code	Natura2000	Sources_plots	account_plots
20	Hydrocharo-Stratiotetum WESTHOFF et al. 1946		(semi-)aquatic community	unusable	C1.3	3150v	Oberdorfer 1998 Vol I Table 15/6B (also Soó 1964b p. 132; Linhard 1964 Tab. Id; Pott 1980 Tab. 11 p. 58)	47
21	Lemno-Hydrocharitetum morsus-ranae OBERDORFER 1957	Hydrocharitetum morsus-ranae van Langendonck 1935	(semi-)aquatic community	unusable	C1.2	3150v	Passarge 1964 Table 4f (also: Hilbig 1971c Tab. 2/8 + p. 11; Passarge 1996 Tab. 13h p.35; Pujol et al. 2023 p. 89; Chytry et al. 2011 tab. 2/14 p. 77+87; Donita et al. 2005 p. 69)	85
22	Lemno-Utricarietum vulgaris SOÓ 1938		(semi-)aquatic community	unusable	C1.2	3150v	Passarge 1964 Table 4a-c (also: Hilbig 1971c Tab. 2/1 + p. 11; Reichhoff et Schnelle 1977 Tab. I/4 rel. 15,16 + p. 429; Chytry 2011 tab. 2/11 p.72+80; Schubert 2001 p. 260; Donita et al. 2005 p. 69)	73
23	Aldrovandetum vesiculatae BORHIDI et J. KOMLODI 1959		(semi-)aquatic community	unusable	C1.3	3150v	Oberdorfer 1998 Vol I Table 15/9 (also Soó 1964b p. 132)	13
24	Lemno-Utricarietum australis TH. MÜLLER et GÖRS 1960		(semi-)aquatic community	unusable	C1.1	3150v	Oberdorfer 1998 Vol I Table 15/8 Ba (also: Hilbig 1971c Tab. 2/3 + p. 11; Köck 1983 Tab. 4 p. 157; Brullo et al. 1994 tab. 13; Pujol et al. 2023 p. 88; Chytry et al. 2011 tab. 2/12 p. 72+83; Schubert 2001 p. 261; Fariselli et al. 2024 Tab. 03.13A-B)	154
25	Ceratophylletum demersi SOÓ 1928	Ceratophyllum demersum-Ass.	(semi-)aquatic community	unusable	C1.3	3150v	Passarge 1996 tab. 12c-d p. 32 (also: Weisser 1970 Tab. 15/29-54 + p. 60; Hilbig 1971c Tab. 2/10 + p. 12; Reichhoff et Schnelle 1977 Tab. II/6 rel. 19-24 + p. 431; Barbagallo et al. 1979 tab. 5; Oberdorfer 1998 Vol I Table 19/14 a; Pujol et al. 2023 p. 89	311
26	Ceratophylletum submersi SOÓ 1928	Ceratophyllum submersum-Gesellschaft	(semi-)aquatic community	unusable	C1.3	3150v	Passarge 1996 tab. 12g-k  p. 32 (also: Reichhoff et Schnelle 1977 Tab. II/7 rel. 25-31 + p. 434; Chytry et al. 2011 tab. 2/17 p. 77+96; Schubert 2001 p. 262; Donita et al. 2005 p. 71; Fariselli et al. 2024 Tab.03.14)	79
27	Potamogetonetum lucentis HUECK 1931		(semi-)aquatic community	unusable	C1.3	3150pp	Passarge 1964 Table 9a-c (also Linhard 1964 Tab. I/a; Hilbig 1971c Tab. 3/2 + p. 16; Lienenbecker 1971 Tab. 18a + p. 110; Reichhoff et Schnelle 1977 Tab. II/2 rel. 4-10 + p. 430; Pott 1980 Tab. 8/18-28,51-71 + p. 41; Oberdorfer 1998 Vol I Table 19/11a-b; 	285
28	Potamogetonetum perfoliati W. KOCH 1926	Potamogeton perfoliatus-Gesellschaft	(semi-)aquatic community	unusable	C1.3	3150pp, 3260v	Passarge 1964 Table 9d-f (also Hilbig 1971c Tab. 3/3 + p. 17; Brullo et al. 1994 tab. 7; Oberdorfer 1998 Vol I Table 19/9a-b; Chytry et al. 2011 tab. 475 p.147+152; Schubert 2001 p. 266; Donita et al. 2005 p. 71)	73
29	Potamogetonetum praelongi MILJAN 1933	Potamogetonetum praelongi Sauer 1937	(semi-)aquatic community	unusable	C1.3	3150pp	 Passarge 1994 Tab. 16a-d (also: Chytry et al. 2011 tab. 4/12 p. 147+175)	37
30	Potamogetonetum colorati ALLORGE 1922		(semi-)aquatic community	unusable	C1.3	3150pp	Oberdorfer 1998 Vol I Table 21a-c (also: Pujol et al. 2023 p. 96)	49
