# Community_BERN5_ID	Community_Name	community_Synonyme	Naturalness level	use_type_Text	EUNIS_Code	Natura2000	Sources_plots	account_plots
2035	Calamagrostio arundinaceae-Quercetum petraeae SCAMONI et PASSARGE 1959	Calamagrostio arundinaceae-Quercetum petraeae (Hartmann 1934) Scamoni et Passarge 1959	natural forest	single stem cutting	T1B7	9190	Scamoni (1960) Table 45 (also: Matuszkiewicz J.M. 1993 p.46; Hofmann et Pommer 2013 p. 276	133
2036	Genisto tinctoriae-Quercetum (petraea) KLIKA 1932	included in Luzulo-Quercetum petraeae Hilitzer 1932 nom. invers. propos.	natural forest	single stem cutting	T1B7	9190	Oberdorfer (1992) Vol IV, Table 292/3b and  Text Vol. p. 114 (also Klika (1937) S. 336; Soó 1964b p. 263; Chytry et al. 2013 tab. 7/9 p. 338+352; Schubert 2001 p. 74)	184
2037	Calamagrostio variae-Pinetum OBERDORFER 1957	including Molinio-Pinetum ELLENBERG et KLÖTZLI 1972	natural forest	single stem cutting	T3541	9430*	Oberdorfer (1992) Vol  IV, Table 259/4 and Text Vol. p. 49 (also Ellenberg et Klötzli 1972 p.742  with Keller et al. 1998)	84
2038	Calamagrostio villosae-Piceetum lophozietosum TÜXEN 1937	Calamagrostio villosae-Fagetum Mikyska 1972	natural forest	single stem cutting	T312	9410	Hartmann et Jahn (1967) Table II/15, Text Vol. p. 383 (also Chytry et al. 2013 tab. 8/7 p. 372+406; Schubert 2001 p. 88)	191
2039	Vaccinio myrtilli-Piceetum TÜXEN 1955	Vaccinio-Piceetum Tx. 1955	natural forest	single stem cutting	T312	9410	Hartmann et Jahn (1967) Table II/20, p. 384	205
2040	Calamagrostio villosae-Piceetum vaccinietosum vitis-idaea VOLK 1939	Barbilophozio-Piceetum vaccinietosum vitis-idaea Volk 1939	natural forest	single stem cutting	T312	9410	Hartmann et Jahn (1967) Table II/29 (Willner et Grabherr (2007) Table 43/2,4)	80
2041	Carici-Fagetum sylvatici lithospermetosum HARTMANN 1967	Clinopodio-Fagetum hordelietosum HOFMANN 1957; Mercuriali-Fagetum melicotosum Fukarek 1951	natural forest	single stem cutting	T174	9150	Hartmann et Jahn (1967) Table VIIa/37, Table 18b/17-21,p. 464 (also Rühl 1960 Tab. 5/16-40)	29
2042	Carici-Fagetum sylvatici typicum MOOR 1952 em. LOHMEYER 1953		natural forest	single stem cutting	T174	9150	Hartmann et Jahn (1967) Table VIIa 30, Table 18b/9-12, p. 462 (also Rühl 1960 Tab. 5/1-16; Knapp 1969 Tab. 1; Zukrigl 1973 Tab. XII + p. 262; Berg et al 2001 Table 34.2.3.1 and Text S. 489; Willner et Grabherr (2007) Table 21a/1; Ellenberg et Klötzli 1972	1076
2043	Calamagrostio villosae-Piceetum typicum VOLK 1939	Barbilophozio-Piceetum typicum Volk 1939	natural forest	single stem cutting	T312	9410	Hartmann et Jahn (1967) Table II/20 (Willner et Grabherr (2007) Table 43/1,3; Ellenberg et Klötzli 1972 p.714  with Keller et al. 1998; Schubert 1972c Tab. 3/1 + p. 205)	530
2044	Sphagno-Piceetum (TÜXEN 1937) KUOCH 1954	Vaccinio-Piceetum Tx. 1955; Vaccinio uliginosi-Piceetum TX.1955	natural forest	single stem cutting	T312	91E0*	Hartmann et Jahn (1967) Table II/36, p. 386, Table 3/7-18 (also Tüxen (1937) S. 123; Schlüter 1969 Tab. 4 p. 352; Borhidi 1971 tab. 5 p. 313; Willner et Grabherr (2007) Table 39/8; Ellenberg et Klötzli 1972 p.732  with Keller et al. 1998; Zukrigl 1973 Tab	118
2045	Bazzanio-Piceetum  (SCHMIDT et GAISBERG 1936) BRAUN-BLANQUET 1939	Mastigobryo-Piceetum  Br.-BI. 1939	natural forest	single stem cutting	T312	9410	Hartmann et Jahn 1967 Table II/50-51 und S. 387 (also in Schlüter 1969 Tab. 5+ p. 354; Borhidi 1971 tab.5 p. 312; Oberdorfer (1992) Vol IV, Table 269/10Ab and Text Vol. p. 69; Willner et Grabherr (2007) Teil 1 S. 206 et Table 39/6; Ellenberg et Klötzli 19	370
2046	Vaccinio vitis-idaeae-Abietetum albae typicum OBERDORFER 1957	Vaccinio myrtilli-Abietetum Kuoch 1954	natural forest	single stem cutting	T323	9410	Oberdorfer (1992) Vol IV, Table 265/6Ab and Text Vol. p. 64 (also Schubert 1972c Tab. 2/3 + p. 202; Schmidt (2002) 6.2, Table 2/5/2; Runge (1994) S. 245; Chytry et al. 2013 tab. 6/14 p. 237+277)	160
2047	Leucobryo-Pinetum sylvestris molienetosum MATUSZKIEWICZ 1962		natural forest	single stem cutting	T3J5	91T0	Matuszkiewicz (1962) Table 1/7 (also  Hartmann et Jahn 1967 Table XIII/1 ; Schmidt (2002) 7.1.2, Table 2/6/1.3)	109
2048	Leucobryo-Pinetum sylvestris typicum MATUSZKIEWICZ 1962		natural forest	single stem cutting	T3J5	91T0	Matuszkiewicz (1962) Table 1/5+6 (also Hartmann et Jahn (1967) Table XIII/4-5, Schubert 1972c Tab. 2/4 + p. 202; Schmidt (2002) 7.1.1, Table 2/6/1.1; Oberdorfer (1992) Vol IV, Table 261/1gB and Text Vol. p. 55; Runge (1994) S. 246; Berg et al 2001 Table 3	1335
2049	Stellario nemorum-Alnetum typicum LOHMEYER 1957	Salici fragilis-Alnetum glutinosae LOHM. 1957	natural forest	single stem cutting	T1511	91E0*	Lohmeyer 1957 Tab. 1 + p. 247 (also Rühl 1964 Tab. 2; Passarge et Hofmann (1968) Table 39 g-i; Schubert 1972a Tab. 2/2 p. 22; Tüxen et Ohba 1975 Tab. 2 + p. 391; Oberdorfer (1992) Vol IV, Table 305/5A and Text Vol. p. 147; Schmidt 2002 8.1.1, Table 2/7/3.	1152
2050	Irido-Alnetum glutinosae DOING 1962	Irido-Alnetum glutinosae symphytetosum DOING 1962	natural forest	single stem cutting	T1511	91E0*	Passarge et Hofmann (1968) Table 4b (also Schmidt (2002) 11.1.2, Table 2/8/3.3; Berg et al 2001 Table 30.2.2.2 and Text p. 445)	74
2051	Stellario nemorum-Alnetum aruncodetosum TÜXEN 1957	Salici fragilis-Alnetum glutinosae LOHM. 1957	natural forest	single stem cutting	T1511	91E0*	Passarge et Hofmann (1968) Table 39h (also Oberdorfer (1992) Vol IV, Table 305/5B and Text Vol. p. 147; Schmidt (2002) 8.1.2, Table 2/7/3.1; Schubert 2001 p. 36)	195
2052	Dryopterido cristatae-Alnetum glutinosae  TÜXEN et BODEUX 1955		natural forest	single stem cutting	T1511	91E0*	Matuszkiewicz, H. et T. Traczyk (1958) Table 1 and p. 36	82
2053	Carici remotae-Fraxinetum excelsi W. KOCH 1926 ex FABER 1936	included in Pruno-Fraxinetum Oberd. 1953	natural forest	single stem cutting	T1213	91E0*	Tüxen (1937) S. 149 (also Knapp 1944c p. 31; Knapp 1944b Vol. 6 Tab. 1-4, 1944f Tab. 4, 1944g Tab. 7; Hübl 1959 Tab. p. 161 rel. 16-24; Lohmeyer 1960 Tab. 3 + p. 216; Rühl 1964 Tab. 1/1-14; Blosat et Schmidt 1975 Tab. 3/15-22 + p. 254; Schmidt (2002) 8.3.	409
2054	Querco (roboris)-Ulmetum minoris ISSLER 1924	Fraxino-Ulmetum   (Tx. 1952) Oberd. 1953	natural forest	single stem cutting	T1311	91F0	Issler (1924) p. 33 (also Linhard 1964 Tab. Xc; Passarge et Hofmann 1968 Table 8e-f; Kappen et Schulze 1979 Tab. 1/1-4 + p. 189; Schnelle 1981 Tab. 1/3-6,8,9 + p. 387Oberdorfer 1992 Vol IV, Table 308/8Ab and Text Vol. p. 153; Schmidt (2002) 9.1, Table 2/7	1266
2055	Salicetum albae ISSLER 1924	Salici-Populetum nigrae TÜXEN 1931; Salicetum albo-fragilis Tx. (1948) 1955	natural forest	single stem cutting	T1111	91E0*	Issler (1924) p. 20 (also Knapp 1944b Vol. 6 Tab. 8-9; Linhard 1964 Tab. IX; Passarge et Hofmann 1968 Table 39b; Jelem 1975 Annex-Tab. rel. 18-29; Oberdorfer (1992) Vol IV, Table 241/6, 247/6a-6l and Text Vol. p. 22; Schmidt 2002 10.2; Tüxen 1937 S. 135; 	630
2056	Carici elongatae-Alnetum glutinosae SCHWICKERATH 1933	Carici elongatae-Alnetum betuletosum Bodeux 1955	natural forest	single stem cutting	T15112	91E0*	Tüxen (1937) S. 136 (also Lutz 1950 Tab. 6; Lohmeyer 1960 Tab. 2 + p. 214; Aichinger 1960 Tab. 10 p. 198; Soó 1964b p. 230; Böcker 1978 Tab. 9; Schmidt (2002) 11.3, Table 2/8/1; Oberdorfer (1992) Vol IV, Table 251/5b and Text Vol. p. 30; Langguth, Kopp et	1040
2057	Urtico-Alnetum FUKAREK 1961	Urtico-Alnetum (Scamoni 1935) Fukarek 1961	natural forest	single stem cutting	T1511	91E0*	Oberdorfer (1992) Vol IV, Table 252/9 and Text Vol. p. 32 (also Schmidt (2002) 11.4, Table 2/8/5; Hofmann et Pommer 2013 p. 136; Schubert 2001 p. 32)	166
2058	Vaccinio uliginosi-Pinetum mugi KÄSTNER et FLÖSSNER 1933	Pinetum uncinatae Kästner et Flößner 1933; Vaccinio uliginosi-Pinetum rotundatae Oberd.  1934 em. Seibert in Oberd. 1992; Pino mugo-Sphagnetum Neuhäusl 1969;Vaccinio-Pinetum montanae Oberdorfer 1934	natural forest	unusable	T3J5	91D0*	Hartmann et Jahn (1967) Table Ib/39-54 (also Schmidt (2002) 12.3, Table 2/9/3; Oberdorfer (1992) Vol IV, Table 264/5 and Text Vol. p. 61; Ellenberg et Klötzli 1972 p.762  with Keller et al. 1998; Schubert 1972c Tab. 1/2 + p. 198; Chytry et al. 2013 tab. 8	236
2059	Vaccinio uliginosi-Piceetum HARTMANN 1953	Vaccinio-Piceetum Tx. 1955; Vaccinio uliginosi-Piceetum abietis Schubert 1972	natural forest	unusable	T312	91D0*	Schmidt et al. (2002) 12.4.1 Table 2/9/4.1 (also: Chytry et al. 2013 tab. 8/14 p. 372+429; Schubert 1972c Tab. 1/3 + p. 199, 2001 p. 96)	125
2060	Filipendulo-Alnetum LEMÉE 1937	included in Pruno-Fraxinetum Oberd. 1953	natural forest	single stem cutting	T1511	91E0*	Passarge et Hofmann (1968) Table 5g (also Strimmer 1974 Tab. I.3/1-14 + p. 23; Schmidt (2002) 8.2, Table 2/7/2; Pujol et al. 2023 p. 284; Hofmann et Pommer 2013 p. 159)	80
2061	Fraxino excelsi-Aceretum pseudoplatani TÜXEN 1937	Fraxino-Aceretum W. Koch ex Tx. 1937	natural forest	single stem cutting	T1F1	9180*	Tüxen (1937) S. 146 (also Knapp 1944b Vol. 4 Tab. 13-18; Knapp 1944e Tab. 5; Knapp 1944f Tab. 3; Oberdorfer (1992) Vol IV, Table321/9A and Text Vol. p. 185; Maurer 1966 Tab. 9 p. 47; Hartmann et Jahn (1967) Table III/20-25; Ellenberg et Klötzli 1972 p. 67	424
2062	Adoxo-Aceretum pseudoplatani PASSARGE 1959	Aceri pseudoplatani-Fraxinetum excelsioris W. Koch 1926	natural forest	single stem cutting	T1311	9180*	Oberdorfer (1992) Vol IV, Table322/10B and Text Vol. p. 191 (also Schmidt (2002) 13.2, Table 2/10/2; Berg et al 2001 Table 34.1.1.1 und Text S. 381; Niemeyer et al. 2010 p. 61; Hofmann et Pommer 2013 p. 384; Schubert 2001 p. 51)	661
2063	Aceri pseudoplatani-Tilietum cordatae HARTMANN et JAHN 1967		natural forest	single stem cutting	T1F1	9180*	Hartmann et Jahn (1967) Table VIIc/1-3	25
2064	Betulo carpaticae-Piceetum STÖCKER 1967	Betula carpatica-Picea abies-Ass.	natural forest	single stem cutting	T311	91D0*	Hartmann et Jahn (1967) Table II/56 (also: Schubert 1972c Tab. 3/3 + p. 206, 2001 p. 89)	105
2065	Betulo carpaticae-Sorbetum aucupariae LOHMEYER et BOHN 1972	included in Betula pubescens-Sorbus aucuparia-	natural forest	single stem cutting	T1C3	9410	Oberdorfer (1992) Vol IV,  Table 262/2Bb and Text Vol. p. 57 (also Schmidt (2002) 14.2)	12
2066	Salicetum purpureae WENDELBERGER-ZELINKA 1952	Salix purpurea-Ass.	natural forest	single stem cutting	S9121	91E0*	Oberdorfer (1992) Vol IV, Table 241/3, 244/3a-3d and Text Vol. p. 19 (also Soó 1964b p. 235; Fink 1977 p. 243; Willner et Grabherr (2007) Vol. 1 S. 52 et Table 2/2; Pujol et al. 2023 p. 290; Chytry et al. 2013 tab. 2/3 p. 51+57; Schubert 2001 p. 122; Doni	95
2067	Salicetum triandrae (MALCUIT 1929) NOIRFALISE 1955	Salicetum triandrae Malcuit ex Noirfalise in Lebrun et al. 1955	natural forest	unusable	S9121	91D0*	Horvat, Glavac, Ellenberg (1974) Table 58/1-2 (also Oberdorfer (1992) Vol IV, Table 245/4a and Text Vol. p. 20; Willner et Grabherr 2007 S. 52 u.Table 2/1; Pujol et al. 2023 p. 290; Niemeyer et al. 2010 p. 17; Poldini et al. tab. 10 p. 35; Schubert 2001 p	269
2068	Erico carnae-Pinetum sylvestris caricitosum humulis EICHBERGER et al. 2004		natural forest	single stem cutting	T3615	9430*	Willner et Grabherr (2007) Vol 1 p. 172 et Table 29/4 (also Knapp 1944b Vol. 1 Tab. 1;  Eggler 1955 Tab. 1/8-9; Mucina et al. (1993) Teil III, S. 249	50
2069	Soldanello montanae-Piceetum VOLK in BRAUN-BLANQUET et al 1939	included in Calamagrostio villosae-Piceetum (Tx. 1937) Hartmann et Schlüter 1966 nom. conserv. propos.	natural forest	single stem cutting	T312	9410	Hartmann et Jahn (1967) Table II/48, p. 387 (also: Chytry et al. 2013 tb 8/10 p.372+417)	103
2070	Cephalanthero-Fagetum sylvatici typicum HOFMANN 1956	included in Carici-Fagetum Moor 1952; Cephalanthero damasonii--Fagetum sylvaticae Oberdorfer 1957	natural forest	single stem cutting	T171	9150	Knapp 1944e Tab. 4 (also: Lohmeyer 1953 Tab. 1 + p. 61, 1955 p. 139; Hartmann et Jahn (1967) Table VIIa/26; Lienenbecker 1971 p. 162; Chytry et al. 2013 tab. 6/10 p. 237+264; Hofmann et Pommer 2013 p. 374; Schubert 2001 p. 56)	108
2071	Dentario enneaphyllides-(Abieto-)Fagetum sylvatici OBERDORFER Ex MATUSZKIEWICZ et MATUSZKIEWICZ 1960	included in Galio odorati-Fagetum Sougnez et Thill 1959 nom. conserv. propos.; Dentario enneaphyllides-Abieto-Fagetum  HARTMANN. 1953	natural forest	single stem cutting	T173	9130	Hartmann et Jahn (1967) Table IVa/11 (also Knapp 1944b Vol. 3 Tab. 1+2, 1954 Tab. 2c; Matuszkiewicz J.M. 1993 p.47)	46
2072	Vaccinio vitis-idaea-Pinetum sylvestris MAYER et HOFFMANN 1969	included in Leucobryo-Pinetum Matuszkiewicz 1962	natural forest	single stem cutting	T1B7	91T0	Willner et Grabherr (2007) Table 28/6 (Mucina et al. (1993) Vol III, p. 301	365
2073	Corydalido cavae-Aceretum pseudoplatani MOOR 1938	included in Fraxino-Aceretum W. Koch ex Tx. 1937;	natural forest	single stem cutting	T1F1	9180*	Willner et Grabherr (2007) Vol 1 p. 134 et Table 19/13 (also Schubert 1972a Tab. 6/2 p. 33; Mucina et al. (1993) Teil III, S. 109)	49
2074	Arunco dioicae-Aceretum pseudoplatani MOOR 1952	included in Fraxino-Aceretum W. Koch ex Tx. 1937	natural forest	single stem cutting	T1F1	9180*	Willner et Grabherr (2007) Vol 1 p. 133 et Table 19/11 (also Mucina et al. (1993 ) Part III p. 118; Onyshchenko 2009 Tab. 66; Chytry et al. 2013 tab. 6/17 p. 237+289)	286
2075	Lunario-Aceretum pseudoplatani RICHARD ex SCHLÜTER et GRÜNEBERG 1957	included in Fraxino-Aceretum W. Koch ex Tx. 1937; Arunco-Aceretum MOOR 1952	natural forest	single stem cutting	T1F1	9180*	Hartmann et Jahn (1967) p. 399 Table III/13 (also Stallner 1974 Tab. 2 + p. 62; Fink 1977 tab. 51 p. 350; in Mucina et al. 1993 Vol III, p. 115)	36
2076	Asplenio scolopendri-Fraxinetum excelsi SCHWICKERATH 1938	included in Fraxino-Aceretum W. Koch ex Tx. 1937;	natural forest	single stem cutting	T1F1	9180*	Willner et Grabherr (2007) Vol 1 p. 133 et Table 19/10 (also Mucina et al. (1993) Teil III, S. 113; Chytry et al. 2013 tab. 6/16 p. 237+286)	394
2077	Carici albae-Tilietum cordatae MÜLLER et GÖRS 1958		natural forest	single stem cutting	T1F5	9180*	Th. Müller (1990) Table 1/3 (also Douda et al. 2015 Tab. A-9; Willner et Grabherr (2007) Table 18/1)	146
2078	Cardamino amarae-Alnetum glutinosae (MEIJER-DREES 1936) PASSARGE 1968		natural forest	single stem cutting	T1511	91E0*	Passarge et Hofmann (1968) Table 7c (also Berg et al 2001 Table 30.1.1.2 and Text p. 440; Hofmann et Pommer 2013 p. 142)	193
2079	Mnio-Fagetum sylvatici PASSARGE 1966	included in Luzulo-Fagetum Meusel 1937;	natural forest	single stem cutting	T181	9110	Passarge et Hofmann (1968) Table 18g (also: Hofmann et Pommer 2013 p. 315	30
2081	Asperulo odorati-Fagetum sylvatici  typicum MAYER 1964	Galio odorati-Fagetum typicum Sougnez et Thill 1959 nom. conserv. propos.	natural forest	single stem cutting	T171	9130	Passarge et Hofmann (1968) Table 15a (also Lohmeyer 1950a Tab. 2/4, 1953 Tab. 1A; Härtle et al. 2004 Table 16/2-13; Schmidt (2002) 1.1.1, Table 2/1/3.1; Oberdorfer (1992) Vol IV, Table 331/2 and Text Vol. p. 212; Willner (2002) Tab 6/9-11, Ellenberg et Kl	3354
2083	Asperulo odorati-Fagetum  sylvatici dryopteridetosum SCAMONI 1967	Galio odorati-Fagetum dryopteridetosum Sougnez et Thill 1959 nom. conserv. propos.	natural forest	single stem cutting	T171	9130	Passarge et Hofmann (1968) Table 15f (also Eggler 1953 Veg.tab. C; Lohmeyer 1953 Tab. 3; Diekjobst 1967b Tab. I/h; Schmidt (2002) 1.1.1, Table 2/1/3.1; Oberdorfer (1992) Vol IV, Table 331/6 and Text Vol. p. 212; Tüxen (1937) S. 142; Hofmann et Pommer 2013	148
2084	Violo albae-Fraxinetum excelsi MUCINA 1993	Scillo-Fraxinetum excelsi violetosum albaea Moor 1973	natural forest	single stem cutting	T1F3	9180*	Willner et Grabherr (2007) Vol 1 p. 132 et Table 19/9 (also Mucina et al. (1993) Teil III, S. 117)	75
2085	Dicranello-Fagetum sylvatici calamagrostidetosum HOFMANN et PASSARGE 1968		natural forest	single stem cutting	T171	9130	Passarge et Hofmann (1968) Table 16 a	3
2086	Dicranello-Fagetum sylvatici typicum HOFMANN et PASSARGE 1968		natural forest	single stem cutting	T171	9130	Passarge et Hofmann (1968) Table 16 b  (also: Hofmann et Pommer 2013 p. 314	26
2087	Dicranello-Fagetum sylvatici silenietosum HOFMANN et PASSARGE 1968		natural forest	single stem cutting	T171	9130	Passarge et Hofmann (1968) Table 16 c	6
2088	Melampyro pratensis-Fagetum sylvaticae OBERDORFER 1957	Luzulo sylvaticae-Fagetum Ellenberg et Klötzli 1974	natural forest	single stem cutting	T18122	9110	Frehner 1963 Vegetation Table 3/a, b (also: Hartmann et Jahn (1967) Table VIc/21, Table 16/63-67; Schubert 1972b Tab. 4/1 + p. 124; Oberdorfer 1992 Vol IV, Table 324/2a and Text Vol. p. 202; Ellenberg et Klötzli 1972 p.622; Schmider et Burnand 1988 p. 46)	632
2089	Luzulo niveae-Fagetum sylvaticae BRAUN-BLANQUET 1952		natural forest	single stem cutting	T18122	9110	Ellenberg et Klötzli 1972 p. 626 with Keller et al. 1998  (also Oberdorfer (1984) Tab. 1/2)	148
2090	Sphagno-Alnetum glutinosae LEMÉE 1937	Cariceto laevigatae-Alnetum sphagnosum Schwick. 1938; Thelypterido palustris-Alnetum glutinosae Klika 1940	natural forest	single stem cutting	T162	91D0*	Passarge et Hofmann (1968) Table 4f (Also Douda et al. 2015 Tab. E-26; Chytry et al. 2013 tab. 5/1 p.183+169; Hofmann et Pommer 2013 p. 113; Schubert 1971a Tab. 1/2 p. 19, 2001 p. 33)	287
2091	Peucedano palustris-Alnetum glutinosae NOIRFALISE & SOUGNEZ 1961 		natural forest	single stem cutting	T1511	91E0	Noirfalise & Sougnez (1961) in Pujol et al. 2023 p. 264	2
2092	Cirsio oleracei-Alnetum glutinosae LEMÉE ex NOIRFALISE & SOUGNEZ 1961 		natural forest	single stem cutting	T1511	91E0	Noirfalise & Sougnez (1961) in Pujol et al. 2023 p. 266	3
2093	Carici laevigatae-Alnetum glutinosae (ALLORGE 1922) SCHWICKERATH 1937		natural forest	single stem cutting	T1511	91E0	Schwickerath 1937 in Pujol et al. 2023 p. 266 (also: Reichert 1973 Tab. VIII + p. 50; Lohmeyer 1960 Tab. 1 + p. 211)	36
2094	Milio-Fagetum sylvaticae FREHNER 1963	included in Asperulo odorati-Fagetum sylvatici  typicum MAYER 1964 	natural forest	single stem cutting	T173	9110	Frehner 1963 Vegetation Table 2/a, b (also: Ellenberg et Klötzli 1972 p.636; Burrichter et Wittig 1977 Tab. 1 p. 383; Schmider et Burnand 1988 p. 50; Hofmann et Pommer 2013 p. 337)	509
2095	Pulmonario obscurae-Fagetum sylvaticae FREHNER 1963		natural forest	single stem cutting	T173	9150	Frehner 1963 Vegetation Table 5/a (also: Ellenberg et Klötzli 1972 p.638; Schmider et Burnand 1988 p. 52)	103
2096	Ulmo-Fraxinetum excelsi typicum MOOR 1958		natural forest	single stem cutting	T11211	9180	Moor 1958 Table 31 (also: Ellenberg et Klötzli 1972 p.676)	17
2097	Ulmo-Fraxinetum excelsi listeretosum ELLENBERG et KLÖTZLI 1972	Aceri-Fraxinetum alluviale ETIER 1947	natural forest	single stem cutting	T11211	8180	Ellenberg et Klötzli 1972 p. 678 (also: Schmider et Burnand 1988 p. 113)	74
2098	Equiseto (hyemale)-Alnetum incanae MOOR 1958		natural forest	single stem cutting	T1121	91E0	Ellenberg et Klötzli 1972 p.682 (also: Trinajstic 1973 Tab. 1; Willner et Grabherr 2007 Tab. 16/10-11; Schmider et Burnand 1988 p. 126)	513
2099	Calamagrostio (variae)-Alnetum incanae MOOR 1959		natural forest	single stem cutting	T1121	91E0	Ellenberg et Klötzli 1972 p.684 (also: Schmider et Burnand 1988 p. 118)	55
2100	Athyrio-Alnetum glutinosae TÜXEN 1943		natural forest	single stem cutting	T1511	91E0*	Passarge et Hofmann (1968) Table 4d (also Schmidt (2002) 11.1.3, Table 2/8/4)	42
2101	Circaeo-Alnetum glutinosae OBERDORFER 1953		natural forest	unusable	T1213	91E0*	Matuszkiewicz et Borowik (1957) Table 1 et p. 140 (also: Hofmann et Pommer 2013 p. 131)	117
2102	Arunco-Fraxinetum castanosum ELLENBERG et KLÖTZLI 1972		natural forest	single stem cutting	T19C3	9260	Ellenberg et Klötzli 1972 p.684  with Keller et al. 1998  	49
2103	Cruciato glabrae-Quercetum castanosum ELLENBERG et KLÖTZLI 1972		natural forest	single stem cutting	T19C3	9260	Ellenberg et Klötzli 1972 p.684  with Keller et al. 1998  	42
2104	Carpino betuli-Ostryetum carpinifoliae ELLENBERG et KLÖTZLI 1972		natural forest	single stem cutting	T19B142	91L0	Ellenberg et Klötzli 1972 p.692  with Keller et al. 1998  	20
2105	Arabidi turritae-Quercetum pubescentis ELLENBERG et KLÖTZLI 1972		natural forest	single stem cutting	T1E14	91AA	Ellenberg et Klötzli 1972 p.696  with Keller et al. 1998  	37
2106	Sileno nutantis-Quercetum petraeae ELLENBERG et KLÖTZLI 1972		natural forest	single stem cutting	T1E14	91G0	Ellenberg et Klötzli 1972 p.700  with Keller et al. 1998  (also Braun-Blanquet 1959 Tab. 2; Schmider et Burnand 1988 p. 120)	19
2107	Phyteumo betonicifoliae-Quercetum castanetosum ELLENBERG et KLÖTZLI 1972		natural forest	single stem cutting	T19C3	9260	Ellenberg et Klötzli 1972 p.704  with Keller et al. 1998	80
2108	Melico (nutantis)-Piceetum ELLENBERG et KLÖTZLI 1972		natural forest	single stem cutting	T3111	9410	Ellenberg et Klötzli 1972 p.728  with Keller et al. 1998	49
2109	Ligustro-Pinetum (sylvestris) FREY 1995		natural forest	single stem cutting	T356	9410	Ellenberg et Klötzli 1972 p.752  with Keller et al. 1998 (also: Gaukler 1940 in Riemenschneider 1956 p. 98, 100; Zündorf 1980 Tab. 2+3 p. 12; Schmider et Burnand 1988 p. 156; Schubert 2001 p. 150)	131
2110	Lysimachio-Quercetum roboris SCAMONI et PASSARGE 1959	included in Betulo pendulae-Quercetum roboris typicum Tx. 1930 nom. invers. propos.	natural forest	single stem cutting	T152	9190	Passarge et Hofmann (1968) Table 32a+b (also Berg et al 2001 Table 29.2.2.2 and Text p. 434; Hofmann et Pommer 2013 p. 241)	658
2111	Melico-Fagetum sylvatici typicum (KNAPP 1942) PASSARGE et HOFMANN 1968	included in Galio odorati-Fagetum Sougnez et Thill 1959 nom. conserv. propos.	natural forest	single stem cutting	T171	9130	Passarge et Hofmann (1968) Table 14b (also Matuszkiewisz(1958) Table 1/1-16,31-35; Langguth, Kopp et Passarge (1965) Table 3/3; Blosat et Schmidt 1975 Tab. 1/1-7 + p. 243; Oberdorfer 1992 Vol IV, Table 334/2A and Text Vol. IV p. 219; Hartmann et Jahn (196	802
2112	Melico-Fagetum sylvatici dryopteridetosum  (KNAPP 1942) PASSARGE et HOFMANN 1968	included in Galio odorati-Fagetum Sougnez et Thill 1959 nom. conserv. propos.	natural forest	single stem cutting	T171	9130	Passarge et Hofmann (1968) Table 14e (also Hartmann et Jahn (1967) Table Iva/41-44, Table 17/47-52, p. 426; Blosat et Schmidt 1975 Tab. 1/8-16 + p. 244; Hofmann et Pommer 2013 p. 345)	213
2113	Pulmonario rubrae-Abieti-Fagetum SOÓ 1964	 Pulmonario rubrae-Fagetum (Soó 1964) Täuber 1987	natural forest	single stem cutting	T17139	91V0	Fink 1977 tab. 47 p. 330 (also Donita et al. 2005 p. 177;  Vintan et Burescu 2013 tab. 1 p. 43; Oana et al. 2012 p. 43, 45,47)	18
2114	Fago-(Fraxino)Ornetum Zolyomi 1954		natural forest	single stem cutting	T17731		Isepy 1969 p. 137 (also; Donita et al. 2005 p. 191)	17
2115	Fraxino orni-Quercetum dalechampii DONITA 1970		natural forest	single stem cutting	T1963	91M0	Donita et al. 2005 p. 177 (also Vintan et Burescu 2013 tab. 1 p. 43)	9
2116	Nectaroscordo-Tilietum tomentosae DONITA 1970		natural forest	single stem cutting	T19683	91Z0	Donita et al. 2005 p. 177 (also Pupescu et al, 2008 tab. 89 p. 209)	10
2117	Tilio argenteae-Quercetum petraeae-cerris SOÓ 1957		natural forest	single stem cutting	T196812	91M0	Knapp 1944c tab. 2 p. 7 (also: Donita et al. 2005 p. 214 (also Jiboc et Ardelean 2013 Tab. 1)	17
2118	Quercertum cerris-confertae carpinetosum orientalis KNAPP 1944		natural forest	single stem cutting	T196811	9280	Knapp 1944c tab. 1 p. 3 (also: Donita et al. 2005 p. 223; Markowic et al. 2015 tab.1 p. 47)	19
2119	Quercetum pedunculiflorae-cerris MORARIU 1944		natural forest	single stem cutting	T196833	91I0	Donita et al. 2005 p. 228 (also: Jovanovic 1978 tab. 3/1-8)	10
2120	Maianthemo-Fagetum sylvatici typicum PASSARGE 1959	included in Luzulo-Fagetum typicum Meusel 1937; Deschampsio flexuosae-Fagetum sylvatici Pass. 1956	natural forest	single stem cutting	T171	9110	Passarge et Hofmann (1968) Table 17b (also Schmidt (2002) 2.4, Table 2/1/1; Runge (1994) p. 273; Willner (2002) Table 6/40)	498
2121	Maianthemo-Fagetum sylvatici dryopteridetosum PASSARGE 1959	included in Luzulo-Fagetum dryopteridetosum Meusel 1937;	natural forest	single stem cutting	T171	9110	Passarge et Hofmann (1968) Table 18a (also Runge (1994) p. 273)	225
