GesID	SoilRef_ID	Legend_engl
6037	325	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
6037	347	Andic cambisols from tuffs rich in bases
6037	531	Haplic Chernozems / Eutric Cambisols from loess alternating with Rendzic Leptosols from marlstone and limestone
6038	279	Calcaric Regosols from loess alternating with Rendzic Leptosols from marlstone and limestone
6038	288	Phaeozemic Luvisols / Luvic Phaeozems from loess or loessic loam
6038	320	Rendzic Leptosols from slope deposits over limestone, marlstone, and dolomite alternating with Chromic Cambisols and Chromic Luvisols from silty and clayey material derived from limestone weathering
6038	325	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
6038	347	Andic cambisols from tuffs rich in bases
6038	531	Haplic Chernozems / Eutric Cambisols from loess alternating with Rendzic Leptosols from marlstone and limestone
6039	279	Calcaric Regosols from loess alternating with Rendzic Leptosols from marlstone and limestone
6039	288	Phaeozemic Luvisols / Luvic Phaeozems from loess or loessic loam
6039	320	Rendzic Leptosols from slope deposits over limestone, marlstone, and dolomite alternating with Chromic Cambisols and Chromic Luvisols from silty and clayey material derived from limestone weathering
6039	325	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
6039	347	Andic cambisols from tuffs rich in bases
6039	531	Haplic Chernozems / Eutric Cambisols from loess alternating with Rendzic Leptosols from marlstone and limestone
6040	65	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
6040	80	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Luvisols from boulder clay
6040	167	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6040	259	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6040	325	Eutric and Chromic Cambisols from redeposited material derived from lime-stone, marlstone and dolomite weathering and Rendzic Leptosols from limestone
6040	474	Luvic Chernozems / Haplic Luvisols from boulder clay or glacial-lake sediments
6041	30	Dystric Histosols
6041	46	Fluvisols / Gleysols from sandy to loamy fluviatile sediments
6041	97	Spodic Luvisols / Spodic Podzoluvisols from sandy sediments overlying boulder clay
6041	464	Haplic Podzols / Cambic Podzols / Gleyic Podzols from sandy fluviatile sediments
6041	483	Stagnic Gleysols from loamy to sandy boulder clay
6042	126	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6042	271	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6042	606	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
6042	614	Stagnic and Spodic Gleysols from loamy and gritty cover sediments mixed with loess overlying sandstone and quartzite
6043	189	Cambic and Haplic Podzols from sandstone and quartzite with low base status
6043	230	Haplic Luvisols from silty to loamy periglacial sediments overlying glacial gravels
6043	397	Cambic and Haplic Podzols from sandstone and quartzite with low base status
6043	654	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
6043	2120204	Dystric Cambisols from NON-CONSOLIDATED SANDY MATERIALS
6044	518	Eutric Cambisols / Luvic Arenosols from eutrophic sand deposits
6101	73	Haplic Podzols / Cambic Podzols / Gleyic Podzols from sandy fluviatile sediments
6101	97	Spodic Luvisols / Spodic Podzoluvisols from sandy sediments overlying boulder clay
6101	269	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6101	404	Stagnic and Spodic Gleysols from loamy and gritty cover sediments mixed with loess overlying sandstone and quartzite
6102	64	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
6102	107	Calcaric and Umbric Regosols / Luvic Arenosols from sandy to loamy end moraine deposits (alternating patches)
6102	233	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
6102	314	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6102	2003108	Gleyic Luvisols
6103	70	Dystric Cambisols from sandy river-terrace deposits
6103	102	Dystric Podzoluvisols / Luvic Arenosols / Dystric Cambisols from sandy sediments overlying boulder clay
6103	264	Eutric Cambisols / Stagnic Gleysols from calcareous loamy and sandy to gravelly morainic deposits mixed with loess
6103	315	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6104	59	Gleysols from sandy sediments of the ice-marginal valleys and lowlands
6104	80	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Luvisols from boulder clay
6104	161	Haplic Luvisols / Eutric Podzoluvisols / Eutric Cambisols from sandy loess overlying sand or loam
6104	166	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6104	282	Haplic and Stagnic Chernozems from loess overlying claystone and marlstone
6104	440	Fluvisols / Gleysols from loamy to clayey fluviatile sediments
6104	446	Gleyic Chernozems from calcareous clayey and silty sediments in the river valleys of the chernozem area
6104	455	Gleysols from sandy sediments of the ice-marginal valleys and lowlands
6104	534	Haplic and Stagnic Chernozems from loess overlying claystone and marlstone
6104	561	Haplic Luvisols / Eutric Podzoluvisols / Eutric Cambisols from sandy loess overlying sand or loam
6105	59	Gleysols from sandy sediments of the ice-marginal valleys and lowlands
6105	161	Haplic Luvisols / Eutric Podzoluvisols / Eutric Cambisols from sandy loess overlying sand or loam
6105	264	Eutric Cambisols / Stagnic Gleysols from calcareous loamy and sandy to gravelly morainic deposits mixed with loess
6105	315	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6106	64	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
6106	107	Calcaric and Umbric Regosols / Luvic Arenosols from sandy to loamy end moraine deposits (alternating patches)
6106	114	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6106	233	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
6106	259	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6106	288	Phaeozemic Luvisols / Luvic Phaeozems from loess or loessic loam
6106	314	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6106	338	Eutric Cambisols from marlstone and calcareous gravels
6107	189	Cambic and Haplic Podzols from sandstone and quartzite with low base status
6107	362	Spodic Cambisols from acid igneous and metamorphic rocks
6107	367	Spodic Cambisols from siltstone, sandstone, and claystone
6107	392	Dystric Cambisols from loess-bearing sediments overlying sandstone and quartzite
6107	482	Stagnic Gleysols from loamy to sandy boulder clay
6107	653	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
6107	2012117	 Calcaric Cambisol from Clayey Till
6107	2012217	Gleyic Cambisols from Clayey Till
6108	64	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
6108	107	Calcaric and Umbric Regosols / Luvic Arenosols from sandy to loamy end moraine deposits (alternating patches)
6108	112	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6108	233	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
6108	258	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6108	264	Eutric Cambisols / Stagnic Gleysols from calcareous loamy and sandy to gravelly morainic deposits mixed with loess
6108	288	Phaeozemic Luvisols / Luvic Phaeozems from loess or loessic loam
6108	314	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6108	498	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6109	3	Dystric Regosols from sand dunes
6109	147	Dystric Regosols from dry dystrophic sand deposits
6109	270	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6109	353	"	Dystric Cambisols from acid igneous and metamorphic rocks"
6109	362	Spodic Cambisols from acid igneous and metamorphic rocks
6109	524	Dystric Regosols from dry dystrophic sand deposits
6109	586	"	Dystric Cambisols from acid igneous and metamorphic rocks"
6109	595	Spodic Cambisols from acid igneous and metamorphic rocks
6109	606	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
6109	614	Stagnic and Spodic Gleysols from loamy and gritty cover sediments mixed with loess overlying sandstone and quartzite
6109	2050604	Dystric Cambisols from NON-CONSOLIDATED CLAYEY MATERIALS
6109	2081104	Dystric Cambisols from NON-CONSOLIDATED CLAYEY MATERIALS
6110	3	Dystric Regosols from sand dunes
6110	270	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6110	353	"	Dystric Cambisols from acid igneous and metamorphic rocks"
6110	362	Spodic Cambisols from acid igneous and metamorphic rocks
6111	270	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6111	606	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
6111	614	Stagnic and Spodic Gleysols from loamy and gritty cover sediments mixed with loess overlying sandstone and quartzite
6112	3	Dystric Regosols from sand dunes
6112	147	Dystric Regosols from dry dystrophic sand deposits
6112	270	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6112	353	"	Dystric Cambisols from acid igneous and metamorphic rocks"
6112	362	Spodic Cambisols from acid igneous and metamorphic rocks
6112	524	Dystric Regosols from dry dystrophic sand deposits
6112	586	"	Dystric Cambisols from acid igneous and metamorphic rocks"
6112	595	Spodic Cambisols from acid igneous and metamorphic rocks
6112	606	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
6112	614	Stagnic and Spodic Gleysols from loamy and gritty cover sediments mixed with loess overlying sandstone and quartzite
6112	2030504	Dystric Cambisols from NON-CONSOLIDATED CLAYEY MATERIALS
6112	2050404	Cambic Podzols from NON-CONSOLIDATED CLAYEY MATERIALS
6112	2160504	Dystric Cambisols from VOLCANIC ROCKS
6113	3	Dystric Regosols from sand dunes
6113	147	Dystric Regosols from dry dystrophic sand deposits
6113	270	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6113	353	"	Dystric Cambisols from acid igneous and metamorphic rocks"
6113	362	Spodic Cambisols from acid igneous and metamorphic rocks
6113	524	Dystric Regosols from dry dystrophic sand deposits
6113	586	"	Dystric Cambisols from acid igneous and metamorphic rocks"
6113	595	Spodic Cambisols from acid igneous and metamorphic rocks
6113	606	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
6113	614	Stagnic and Spodic Gleysols from loamy and gritty cover sediments mixed with loess overlying sandstone and quartzite
6113	2000102	Dystric Cambisols
6113	2002108	Cambic Arenosols
6113	2030304	Haplic Podzols from NON-CONSOLIDATED CLAYEY MATERIALS
6113	2070104	Dystric Cambisols from NON-CONSOLIDATED CLAYEY MATERIALS
6113	2070204	Dystric Cambisols from NON-CONSOLIDATED CLAYEY MATERIALS
6113	2090904	Cambic Podzols from NON-CONSOLIDATED CLAYEY MATERIALS
6114	3	Dystric Regosols from sand dunes
6114	147	Dystric Regosols from dry dystrophic sand deposits
6114	270	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6114	353	"	Dystric Cambisols from acid igneous and metamorphic rocks"
6114	362	Spodic Cambisols from acid igneous and metamorphic rocks
6114	524	Dystric Regosols from dry dystrophic sand deposits
6114	586	"	Dystric Cambisols from acid igneous and metamorphic rocks"
6114	595	Spodic Cambisols from acid igneous and metamorphic rocks
6114	606	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
6114	614	Stagnic and Spodic Gleysols from loamy and gritty cover sediments mixed with loess overlying sandstone and quartzite
