GesID	SoilRef_ID	Legend_engl
6114	2030204	Haplic Podzols from NON-CONSOLIDATED CLAYEY MATERIALS
6115	155	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols from loess or loessic loam overlying various rocks
6115	314	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6115	499	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6116	107	Calcaric and Umbric Regosols / Luvic Arenosols from sandy to loamy end moraine deposits (alternating patches)
6116	233	Haplic Luvisols from loess-covered loamy to sandy river-terrace deposits
6116	258	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6116	314	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6117	385	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
6117	392	Dystric Cambisols from loess-bearing sediments overlying sandstone and quartzite
6117	396	Cambic and Haplic Podzols from sandstone and quartzite with low base status
6118	362	Spodic Cambisols from acid igneous and metamorphic rocks
6118	385	Dystric Cambisols from quartzitic sandstones and conglomerates with low base status
6118	392	Dystric Cambisols from loess-bearing sediments overlying sandstone and quartzite
6118	396	Cambic and Haplic Podzols from sandstone and quartzite with low base status
6201	155	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols from loess or loessic loam overlying various rocks
6201	254	Stagnic Gleysols from boulder clay with a loamy to sandy cover
6201	259	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6201	309	Eutric Cambisols / Stagnic Gleysols from loessic loam with fragments of basalt
6201	314	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6201	468	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Luvisols from boulder clay
6201	499	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
6201	602	Spodic Cambisols from hard argillaceous and silty slates with greywacke, sandstone, quartzite, and phyllite
6202	274	Haplic Podzols / Dystric Regosols from dry dystrophic sand deposits
6202	511	Cambic Podzols / Spodic Arenosols from dry dystrophic sand deposits
6202	524	Dystric Regosols from dry dystrophic sand deposits
6301	155	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols from loess or loessic loam overlying various rocks
6301	314	Stagnic Gleysols / Eutric Cambisols / Haplic Luvisols from loess or loessic loam
6301	602	Spodic Cambisols from hard argillaceous and silty slates with greywacke, sandstone, quartzite, and phyllite
6301	654	Eutric Cambisols / Haplic Luvisols / Calcaric Regosols from calcareous loamy to sandy till
6301	2000802	Dystric Cambisols
6302	155	Haplic Luvisols / Eutric Podzoluvisols / Stagnic Gleysols from loess or loessic loam overlying various rocks
6302	259	Spodo-Stagnic Cambisols / Stagnic Podzoluvisols from loamy to sandy deposits overlying boulder clay
