Comm_ID	Humus_form
5036	Moder
5036	Moder
5036	Raw humus-like moder
5037	Raw humus-like moder
5037	Raw humus-like moder
5037	Raw humus
5038	Mull
5038	Mull-like moder
5038	Moder
5039	Moder
5039	Moder
5040	Moder
5040	Moder
5041	Mull-like moder
5041	Moder
5042	Mull
5043	Mull
5044	Mull
5045	Tangel
5046	Tangel
5046	Mull-like moder
5047	Tangel
5047	Mull-like moder
5048	Raw humus-like moder
5048	Raw humus-like moder
5049	Moder
5049	Raw humus-like moder
5050	Moder
5050	Raw humus-like moder
5051	Mull-like moder
5051	Moder
5052	Mull-like moder
5052	Moder
5053	Mull-like moder
5054	Mull-like moder
5054	Moder
5054	Moder
5055	Mull
5056	Mull
5057	Moder
5058	Raw humus-like moder
5058	Raw humus
5059	Mull
5059	Mull-like moder
5060	Moist raw humus
5060	Raised bog peat
5061	Moist moder
5061	Moist mull
5061	Transition bog peat
5062	Tangel
5063	Raw humus
5064	Raw humus
5065	Moist moder
5065	Transition bog peat
5065	Moist raw humus
5065	Moder
5066	Tangel
5068	Moder
5068	Raw humus-like moder
5068	Moder
5069	Mull-like moder
5069	Mull
5069	Moder
5070	Mull
5071	Mull
5072	Mull
5073	Mull
5074	Raw humus-like moder
5100	Mull
5100	Mull-like moder
5101	Moder
5102	Tangel
5102	Moder
5103	Mull-like moder
5103	Moder
5105	Moder
5106	Tangel
5106	Mull
5107	Tangel
5107	Moder
5108	Tangel
5109	Tangel
5110	Tangel
5111	Tangel
5112	Tangel
5113	Tangel
5114	Moist moder
5115	Tangel
5116	Tangel
5117	Tangel
5118	Mull
5118	Mull-like moder
5119	Mull-like moder
5119	Mull
5119	Moder
5120	Tangel
5121	Tangel
5121	Moder
5122	Tangel
5123	Moder
5124	Tangel
5125	Tangel
5126	Tangel
5127	Mull
5127	Mull-like moder
5127	Moder
5128	Mull-like moder
5129	Mull-like moder
5129	Moder
5130	Tangel
5131	Mull-like moder
5131	Moder
5132	Moder
5133	Moder
5134	Tangel
5135	Tangel
5202	Moist moder
5203	Moist mull
5204	Moder
5204	Moder
5205	Mull-like moder
5205	Mull
5205	Moder
5206	Moist moder
5206	Moder
5206	Mull-like moder
5206	Mull
5207	Mull-like moder
5207	Moder
5207	Transition bog peat
5208	Mull-like moder
5208	Moist moder
5208	Moder
5208	Mull
5208	Low-moor peat
5209	Moist mull
5451	Moder
5451	Mull-like moder
5452	Moder
5501	Raised bog peat
5520	Mull
5520	Moder
5520	Mull-like moder
5601	Raw humus
5601	Raw humus-like moder
5601	Moder
5601	Raw humus-like moder
5602	Moder
5602	Raw humus-like moder
5740	Moder
5740	Transition bog peat
5741	Moist moder
5820	Moder
5820	Transition bog peat
5820	Mull-like moder
5820	Moist moder
5821	Moder
5821	Mull
5822	Mull
5823	Mull
5824	Mull
5824	Moder
5825	Moist mull
5826	Moist mull
5827	0
5828	0
5829	0
6001	Moder
6001	Moder
6002	Moder
6002	Mull-like moder
6003	Raw humus-like moder
6003	Moder
6004	Moder
6004	Moder
6004	Moder
6006	Raw humus-like moder
6006	Moder
6007	Moder
6007	Moder
6007	Raw humus-like moder
6008	Raw humus-like moder
6009	Raw humus-like moder
6009	Raw humus-like moder
6009	Raw humus
6009	Raw humus
6010	Raw humus
6010	Raw humus-like moder
6011	Raw humus
6011	Raw humus-like moder
6015	Raw humus-like moder
6015	Raw humus-like moder
6015	Moist raw humus
6023	Moder
6023	Mull-like moder
6027	Mull-like moder
6027	Mull
6027	Moder
6027	Moder
6028	Mull-like moder
6030	Mull-like moder
6030	Raw humus-like moder
6030	Moist moder
6032	Raw humus-like moder
6032	Raw humus-like moder
6032	Raw humus-like moder
6033	Moist mull
6034	Mull
6034	Mull
6034	Mull-like moder
6042	Raw humus
6042	Raw humus
6043	Raw humus-like moder
6043	Moder
6044	Raw humus-like moder
6044	Raw humus-like moder
6045	Transition bog peat
6046	Raw humus-like moder
6047	Raw humus
6048	Raw humus-like moder
6049	Moder
6050	Moder
6101	Moist raw humus
6107	Raw humus-like moder
6107	Raw humus-like moder
6112	Raw humus-like moder
6112	Raw humus-like moder
6112	Raw humus
6112	Raw humus
6113	Raw humus-like moder
6113	Raw humus
6113	Raw humus-like moder
6113	Raw humus
6114	Raw humus-like moder
6114	Raw humus
6114	Raw humus-like moder
6114	Raw humus
6115	Moder
6115	Moder
6115	Mull-like moder
6116	Raw humus-like moder
6116	Raw humus-like moder
6116	Raw humus-like moder
6117	Raw humus
6117	Raw humus
6118	Raw humus
6118	Raw humus
6119	Raw humus-like moder
6120	Moder
6121	Moder
6122	Moist moder
6123	Mull
6201	Mull
6201	Moder
6201	Moder
6201	Mull
6201	Mull-like moder
6202	Raw humus
6202	Moder
6202	Raw humus-like moder
6203	Mull
6204	Moder
6301	Moder
6301	Moder
6302	Moder
6302	Mull-like moder
6302	Moder
6303	Moder
6303	Mull-like moder
6303	Moder
6304	Moist mull
6305	Mull
6306	Mull-like moder
6307	Moder
6401	Moist mull
6402	Moist mull
6403	Moist moder
6404	Moist mull
6405	Moist mull
6501	Transition bog peat
6502	Transition bog peat
6503	Mull
6504	Moder
6505	Moder
6601	Raw humus-like moder
6602	Moder
6603	Mull
6603	Moder
6701	Mull
6702	Moder
6703	Moder
6704	Moder
6705	Moder
6706	Raw humus-like moder
7001	Moder
7002	Mull-like moder
7002	Moder
7003	Mull-like moder
7003	Moder
7004	Mull
7005	Mull
7006	Mull
7007	Moder
7007	Mull
7007	Mull-like moder
7008	Moder
7008	Mull
7008	Mull-like moder
7009	Moder
7010	Mull-like moder
7010	Moder
7011	Moder
7011	Mull-like moder
7011	Mull
7012	Mull
7013	Mull-like moder
7013	Mull
7013	Moder
7014	Mull-like moder
7014	Moder
7015	Raw humus-like moder
7015	Mull-like moder
7015	Moder
7016	Mull
7016	Mull-like moder
7017	Mull
7017	Moder
7017	Mull-like moder
7018	Mull
7019	Mull
7020	Mull
7021	Mull
7022	Mull
7023	Mull
7023	Mull-like moder
7024	Mull-like moder
7024	Moder
7024	Mull
7025	Moder
7026	Mull
7026	Mull-like moder
7027	Mull
7027	Mull-like moder
7028	Moder
7029	Moder
7030	Mull-like moder
7030	Moder
7031	Mull-like moder
7031	Mull
7031	Moder
7032	Mull
7032	Mull-like moder
7033	Moder
7034	Mull
7034	Mull-like moder
7035	Mull
7036	Mull
7037	Mull
7038	Mull
7039	Mull
7040	Mull
7041	Mull-like moder
7041	Moder
7041	Mull
7042	Mull-like moder
7042	Moder
7042	Mull
7043	Mull
7043	Mull-like moder
7043	Moder
